"STATE_NAME","GEOID","event_type","year_numerical","total_event_days","average_impacted_area_hectare","sd_impacted_area_hectare"
"Alabama",1029,"Extreme Cold Event",2020,4,164169.9,30828.6
"Alabama",1029,"Extreme Cold Event",2022,4,209889,1047.6
"Alabama",1029,"Extreme Heat Event",2010,21,14456.2,16772.4
"Alabama",1029,"Extreme Heat Event",2011,6,48816.1,68536
"Alabama",1029,"Extreme Heat Event",2015,2,2886.9,2714.5
"Alabama",1029,"Extreme Heat Event",2017,1,1365.6,NA
"Alabama",1029,"Extreme Heat Event",2019,2,14421.4,14914.4
"Alabama",1029,"Extreme Heat Event",2020,1,333.4,NA
"Alabama",1029,"Extreme Heat Event",2022,5,9272.3,5400.1
"Alabama",1031,"Extreme Cold Event",2008,1,242716.8,NA
"Alabama",1031,"Extreme Cold Event",2009,5,234312,18793.6
"Alabama",1031,"Extreme Cold Event",2010,11,235979.3,11553.2
"Alabama",1031,"Extreme Cold Event",2013,4,219468.8,0
"Alabama",1031,"Extreme Cold Event",2014,5,187462.5,101701.6
"Alabama",1031,"Extreme Cold Event",2015,3,242716.8,0
"Alabama",1031,"Extreme Cold Event",2016,2,125592.9,165638.2
"Alabama",1031,"Extreme Cold Event",2017,2,125592.9,165638.2
"Alabama",1031,"Extreme Cold Event",2018,6,242716.8,0
"Alabama",1031,"Extreme Cold Event",2020,4,184154.8,117123.9
"Alabama",1031,"Extreme Cold Event",2022,3,242716.8,0
"Alabama",1031,"Extreme Heat Event",2011,1,615.2,NA
"Alabama",1031,"Extreme Heat Event",2019,5,148936.8,95737.8
"Alabama",1031,"Extreme Heat Event",2020,2,4270.6,5515.4
"Alabama",1031,"Extreme Heat Event",2021,3,71895.9,57629.5
"Alabama",1031,"Extreme Heat Event",2022,4,75067.7,42709.5
"Alabama",1033,"Extreme Cold Event",2009,2,239461.8,0
"Alabama",1033,"Extreme Cold Event",2010,10,226649.9,27009.9
"Alabama",1033,"Extreme Cold Event",2011,2,228024.5,16174.8
"Alabama",1033,"Extreme Cold Event",2012,3,216587.2,0
"Alabama",1033,"Extreme Cold Event",2014,4,228296.2,22331.2
"Alabama",1033,"Extreme Cold Event",2015,4,196680.6,85562.4
"Alabama",1033,"Extreme Cold Event",2017,3,182420.2,98798.9
"Alabama",1033,"Extreme Cold Event",2018,8,218071.2,60501.8
"Alabama",1033,"Extreme Cold Event",2020,1,194799.4,NA
"Alabama",1033,"Extreme Cold Event",2021,4,111118.2,85562.4
"Alabama",1033,"Extreme Cold Event",2022,3,182420.2,98798.9
"Alabama",1033,"Extreme Heat Event",2010,8,6787.5,4121.2
